species,start_day,end_day
HV,146,146
HV,186,186
HV,225,225
HV,248,249
HV,253,255
HV,261,261
HV,267,267
PC,27,27
PC,55,73
PC,81,92
RCL,108,108
RCL,111,111
RCL,116,120
RCL,122,152
RCL,211,211
RCL,216,217
RCL,219,225
RCL,228,232
RCL,234,234
RCL,236,239
RCL,241,243
RCL,250,256
RCL,261,262
RS,66,68
RS,70,73
RS,78,81
RS,83,85
RS,90,91
RS,106,106
RS,289,289
RS,295,295
